date,total,difference,percentage
21-04-2020,9821,118,1.22
20-04-2020,9703,75,0.78
19-04-2020,9628,110,1.16
18-04-2020,9518,129,1.37
17-04-2020,9389,156,1.69
16-04-2020,9233,179,1.98
15-04-2020,9054,188,2.12
14-04-2020,8866,211,2.44
13-04-2020,8655,146,1.72
12-04-2020,8509,193,2.32
11-04-2020,8316,189,2.33
10-04-2020,8127,223,2.82
09-04-2020,7904,233,3.04
08-04-2020,7671,304,4.13
07-04-2020,7367,319,4.53
06-04-2020,7048,258,3.80
05-04-2020,6790,253,3.87
04-04-2020,6537,331,5.33
03-04-2020,6206,499,8.74
02-04-2020,5707,619,12.17
01-04-2020,5088,445,9.58
31-03-2020,4643,4643,Infinity