date,total,stable,increased,decreased
23-04-2020,350,276,71,3
22-04-2020,349,278,69,2
21-04-2020,350,283,63,4
20-04-2020,350,299,49,2
19-04-2020,349,282,67,0
18-04-2020,349,267,80,2
17-04-2020,349,252,96,1
16-04-2020,349,250,99,0
15-04-2020,349,242,106,1
14-04-2020,350,251,98,1
13-04-2020,350,273,76,1
12-04-2020,349,237,109,3
11-04-2020,349,230,112,7
10-04-2020,349,234,114,1
09-04-2020,349,215,133,1
08-04-2020,350,187,159,4
07-04-2020,349,186,162,1
06-04-2020,348,225,121,2
05-04-2020,347,217,129,1
04-04-2020,346,187,159,0
03-04-2020,346,154,192,0
02-04-2020,346,171,174,1
01-04-2020,344,148,194,2
31-03-2020,342,0,342,0