Gemeente,Provincie,13-05-2020,12-05-2020,11-05-2020,10-05-2020,09-05-2020,08-05-2020,07-05-2020,06-05-2020,05-05-2020,04-05-2020,03-05-2020,02-05-2020,01-05-2020,30-04-2020,29-04-2020,28-04-2020,27-04-2020,26-04-2020,25-04-2020,24-04-2020,23-04-2020,22-04-2020,21-04-2020,20-04-2020,19-04-2020,18-04-2020,17-04-2020,16-04-2020,15-04-2020,14-04-2020,13-04-2020,12-04-2020,11-04-2020,10-04-2020,09-04-2020,08-04-2020,07-04-2020,06-04-2020,05-04-2020,04-04-2020,03-04-2020,02-04-2020,01-04-2020,31-03-2020
Haaksbergen,Overijssel,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,13,13,13,12,12,12,11,11,10,10,9,6,6,6,4
Haaren,Noord-Brabant,18,18,18,18,18,18,18,18,18,18,18,18,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,15,15,15,15,15,15,15,15,15,15,14,14,14,14,14,14
Haarlem,Noord-Holland,60,60,60,60,60,60,60,60,60,58,58,58,58,58,58,56,56,56,56,56,56,56,55,54,54,54,54,54,53,52,52,50,49,49,47,43,37,36,35,34,34,32,31,26
Haarlemmermeer,Noord-Holland,65,65,65,65,64,64,63,63,63,62,61,61,60,60,60,58,58,57,57,57,57,57,57,57,57,56,55,55,53,53,51,51,49,49,46,45,42,41,41,39,38,34,32,31
Halderberge,Noord-Brabant,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,12,12,12,11,11,11,11,11,9,9,9,9,9,9,9,9,9,9,9,9
Hardenberg,Overijssel,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,21,21,21,20,18,18,17,17,17,16,12,10,10,10,10,10,9,9
Harderwijk,Gelderland,35,35,35,33,33,33,32,31,31,30,30,30,29,29,28,28,28,27,27,25,24,23,23,19,19,18,18,16,15,15,15,15,15,13,12,11,10,8,8,8,8,8,8,8
Hardinxveld-Giessendam,Zuid-Holland,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Harlingen,Friesland,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,1,1,1
Hattem,Gelderland,14,14,14,14,14,12,12,12,12,12,12,12,12,12,12,12,11,11,11,11,11,11,11,11,10,10,10,10,10,10,10,10,9,9,9,9,7,7,6,6,5,5,5,3
Heemskerk,Noord-Holland,26,26,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,26,26,25,21,21,21,20,20,19,19,19,18,18,18,17,17,14
Heemstede,Noord-Holland,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,9,9,8,8,8,8,8,8,8,8,8,6,5,5,4
Heerde,Gelderland,50,50,49,49,49,47,46,46,46,45,45,45,44,40,39,37,34,34,33,33,33,33,31,30,29,29,29,27,26,26,25,24,24,24,24,23,22,22,20,20,19,19,19,17
Heerenveen,Friesland,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,12,12,12,12,12,12,12,12,11,11,11,10,10,10,10,9,9,7,7,5
Heerhugowaard,Noord-Holland,27,27,27,27,27,27,27,27,27,27,27,27,26,26,26,26,26,26,26,26,25,25,25,25,25,25,25,24,23,22,22,22,22,22,22,22,22,22,22,22,21,19,19,17
Heerlen,Limburg,119,119,119,119,119,119,120,120,119,118,118,118,118,117,114,114,112,112,110,110,110,108,106,101,100,99,99,98,95,94,92,92,92,92,92,87,84,83,80,74,72,66,26,24
Heeze-Leende,Noord-Brabant,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,14,14,13,13,13,13,13,13,13,13,13,13,12,12,12,12,12,8,8,8,8,7,7,7,7,6,6,5
Heiloo,Noord-Holland,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,7,7,7,7,5,5,5
Hellendoorn,Overijssel,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,5,4,4,3
Hellevoetsluis,Zuid-Holland,16,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,13,12,11,11,11,11,11,11,8,8,8,7,7,6,6,4
Helmond,Noord-Brabant,112,112,112,111,110,108,108,108,107,105,105,103,96,96,95,95,92,92,92,92,90,90,90,90,90,90,90,86,86,81,74,66,64,60,59,59,54,54,54,54,52,45,38,35
Hendrik-Ido-Ambacht,Zuid-Holland,8,8,8,8,8,7,8,8,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,4,3,3,3,3,3,3,3
Hengelo,Overijssel,21,21,21,21,21,21,21,21,21,20,20,20,20,20,20,20,20,20,20,20,20,19,19,17,17,17,17,17,16,16,16,16,15,15,14,14,12,11,11,10,9,8,7,6
Het Hogeland,Groningen,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,5,5,5,5,4,4,4
Heumen,Gelderland,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,16,16,16,16,16,16,16,16,16,15,15,14,14,13,12,12,11,10,8,7
Heusden,Noord-Brabant,44,44,45,45,45,45,45,45,45,45,45,45,44,44,44,44,43,43,43,43,42,42,42,40,40,40,39,38,36,36,36,36,35,35,35,35,34,32,32,31,31,29,25,22
Hillegom,Zuid-Holland,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,5,5,5,5,5,5,5,5,4,3,3
Hilvarenbeek,Noord-Brabant,9,9,9,9,9,9,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,4
Hilversum,Noord-Holland,29,29,30,30,30,28,28,28,28,28,28,28,27,27,27,27,27,27,27,27,26,25,24,24,23,23,22,22,22,21,21,21,20,19,18,18,18,17,17,17,17,16,15,13
Hoeksche Waard,Zuid-Holland,76,74,74,74,74,74,74,74,74,73,73,73,71,71,70,71,71,70,70,70,69,69,69,67,67,67,66,65,65,64,64,64,64,62,60,58,57,51,49,49,42,35,30,29
Hof van Twente,Overijssel,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,14,14,14,14,14,14,14,14,14,14,14,14,14,14,13,13,13,12,12,10,10,10,9,8
Hollands Kroon,Noord-Holland,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,24,23,23,22,21,20,17
Hoogeveen,Drenthe,19,19,19,19,19,19,19,18,18,18,18,17,17,17,17,15,15,15,15,15,15,15,15,12,12,12,12,12,11,10,10,10,10,10,10,10,9,9,7,7,7,5,5,4
Hoorn,Noord-Holland,34,34,34,34,34,34,34,34,34,34,34,34,34,30,30,30,30,31,30,30,30,29,29,29,29,27,27,24,24,24,23,23,23,22,22,22,22,21,18,18,18,16,16,13
Horst aan de Maas,Limburg,41,41,41,41,41,41,41,41,41,41,41,41,41,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,38,38,38,36,36,36,34,34,33,29,25,21
Houten,Utrecht,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,23,23,23,23,22,20,18,18,18,18,17,17,17,16,16,15,13,13,12,10,9
Huizen,Noord-Holland,21,21,21,21,21,20,20,20,20,20,20,20,19,19,19,19,19,18,18,18,18,18,18,18,18,18,18,17,17,18,17,17,17,16,16,15,15,13,13,13,12,12,12,9
Hulst,Zeeland,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,6,6,6,4,4,4,4,4,4,4
IJsselstein,Utrecht,35,35,35,35,35,35,35,34,34,34,34,34,34,34,34,33,33,33,33,33,33,33,33,33,33,33,33,33,32,31,30,30,29,28,28,26,26,26,25,23,23,21,18,18
Kaag en Braassem,Zuid-Holland,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,4,4,4
Kampen,Overijssel,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,58,58,58,58,58,58,57,56,56,53,53,52,51,47,47,47,47,47,46,42,40,39,39,38,38,38,34
Kapelle,Zeeland,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1
Katwijk,Zuid-Holland,29,29,29,29,29,29,26,26,26,26,26,26,26,26,26,26,26,25,25,24,23,22,22,22,21,21,21,21,20,18,17,17,17,17,17,16,14,12,12,12,12,11,9,8
Kerkrade,Limburg,62,62,61,61,61,61,63,63,63,62,61,60,58,58,56,56,56,56,55,54,54,54,53,53,53,53,51,51,51,49,46,46,47,47,44,42,40,38,36,34,33,30,10,10
Koggenland,Noord-Holland,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,4
Krimpen aan den IJssel,Zuid-Holland,10,10,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,6,6,6,5,5,5,5,4,4,4,4,3,2
Krimpenerwaard,Zuid-Holland,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,42,42,42,42,41,40,40,40,40,40,40,40,40,40,40,38,37,36,37,35,34,33,33,32,29,28,28,27,22
Laarbeek,Noord-Brabant,40,40,40,40,40,38,38,38,38,38,38,37,37,37,37,37,36,36,36,35,35,35,35,35,35,35,35,35,35,34,33,31,30,28,27,27,27,27,27,27,25,24,24,18
Landerd,Noord-Brabant,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,38,38,34,31,30,30,30,29,29,29,29,29,28,28,28,28,28,26,25,25,23,23,22,21,20
Landgraaf,Limburg,52,52,52,52,53,53,53,53,53,53,53,53,52,51,50,50,50,49,49,49,48,48,47,46,46,46,45,45,41,41,36,36,35,35,34,33,31,30,29,27,27,22,7,7
Landsmeer,Noord-Holland,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Langedijk,Noord-Holland,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,15,15,15,15,15,15,15,14,13,12,11,10,8,8,6
Lansingerland,Zuid-Holland,41,41,41,41,41,41,40,40,40,40,40,40,39,37,36,36,36,36,36,36,36,35,35,35,35,35,35,34,33,32,30,30,29,29,29,26,26,22,22,20,20,18,16,15
Laren,Noord-Holland,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,6,5
Leeuwarden,Friesland,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,32,32,32,32,32,32,31,31,31,31,31,31,29,29,29,29,26,25,24,21,19,16
Leiden,Zuid-Holland,38,38,38,38,38,38,39,39,38,38,38,38,38,38,37,37,37,37,37,36,36,36,36,36,36,35,34,34,34,32,32,31,31,29,27,27,25,24,19,19,19,18,18,16
Leiderdorp,Zuid-Holland,12,12,12,12,12,12,12,12,12,12,11,11,11,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,9,9,9,9,9,8,8,8,7,6,6,6,6,5,5,5
Leidschendam-Voorburg,Zuid-Holland,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,20,20,20,19,19,18,17,17,17,16,16,16,16,15,12,12,11,9,8,7,7
Lelystad,Flevoland,62,62,62,63,62,62,62,61,60,57,57,57,57,56,56,56,56,56,56,51,51,51,50,49,49,49,49,49,45,43,43,42,43,40,37,34,33,32,32,31,30,27,25,24
Leudal,Limburg,51,52,52,52,52,52,53,52,52,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,52,52,52,52,51,51,51,50,47,46,46,41,38,35,33,32
Leusden,Utrecht,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7,6,6,5,5,5,5,5,5
Lingewaard,Gelderland,30,30,30,30,30,30,30,30,30,30,30,30,30,29,29,29,29,29,29,28,28,28,28,28,28,28,28,28,26,24,24,24,23,23,22,21,21,21,21,19,18,18,17,14
Lisse,Zuid-Holland,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,4,4,4,3,3,3,3
Lochem,Gelderland,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,11,11,11,11,11,11,10,10,9,9,6,6,6,5,5,5,5,5,5,3,2,2
Loon op Zand,Noord-Brabant,24,24,24,24,24,24,23,23,23,21,21,21,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,19,19,17,17,15,15,15
Lopik,Utrecht,19,19,19,19,19,19,19,19,19,19,19,19,19,19,20,19,19,19,19,19,19,18,18,18,18,18,18,18,17,17,17,17,17,16,15,15,15,15,12,12,12,10,10,11
Loppersum,Groningen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Losser,Overijssel,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,4,3,3,2
Maasdriel,Gelderland,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,14,14,14,12,12,12,11,11,11,11,9
Maasgouw,Limburg,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,26,26,26,26,24,24,23,23,22,21,21,21,21,21,21,21,21,18,17,16,15,13,12,10
Maassluis,Zuid-Holland,19,18,18,18,18,18,18,18,18,18,18,17,17,17,17,17,17,17,17,17,17,17,17,14,14,14,14,14,14,14,14,14,13,13,13,13,12,11,10,10,10,9,8,8
Maastricht,Limburg,179,179,179,176,176,176,177,175,175,175,171,171,170,169,167,167,166,164,160,160,160,158,155,149,149,147,145,143,137,135,128,128,122,118,116,112,109,106,99,93,87,77,26,25
Medemblik,Noord-Holland,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,17,17,17,17,17,18,17,17,17,17,16,16,16,16,15,14,14,14,14,14,12,10,10,10,10,10,10,10,9
Meerssen,Limburg,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,20,20,20,20,20,18,18,17,17,16,16,15,15,15,13,13,13,12,11,11,11,10,10,9,8,7,3,3
Meierijstad,Noord-Brabant,210,210,209,209,208,208,208,206,206,206,205,205,205,203,202,202,202,200,197,195,191,180,172,169,169,169,169,166,166,166,166,165,165,165,160,155,150,144,144,142,134,124,112,110
Meppel,Drenthe,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,3
Middelburg,Zeeland,18,18,18,18,18,18,18,18,18,18,18,17,17,17,17,17,15,15,15,14,14,14,14,14,14,14,14,13,13,13,13,13,13,13,13,13,13,13,13,13,13,12,12,10
Midden-Delfland,Zuid-Holland,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,1
Midden-Drenthe,Drenthe,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4
Midden-Groningen,Groningen,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,4,4,4,4,4,4,4,4,4,4
Mill en Sint Hubert,Noord-Brabant,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,7,7,7,7,7,6,6,6,6
Moerdijk,Noord-Brabant,14,14,14,14,14,14,14,14,14,14,14,14,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,9,9,9,9,9,9,9,7,7,7,7,7,7,6,6,5
Molenlanden,Zuid-Holland,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,17,17,17,17,17,17,16,16,16,16,16,16,16,15,15,15,14,14,14,13,10,10,9
Montferland,Gelderland,18,18,18,18,18,18,18,17,17,15,14,13,13,12,12,12,12,12,12,12,11,11,11,10,9,9,9,9,9,9,8,8,8,6,6,6,5,5,5,4,4,4,4,3
Montfoort,Utrecht,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,11,11,11,11,11,9,9,9
Mook en Middelaar,Limburg,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,4,4,4,4,4,4,3,3,3,3,3,3
Neder-Betuwe,Gelderland,34,34,34,33,32,32,32,32,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,30,30,30,30,30,29,29,28,27,26,26,26,22
Nederweert,Limburg,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,30,30,30,30,30,28,28,28,28,28,28,28,28,28,28,28,27,27,25,25,25,25,25,25,24,24,24,24,22
Nieuwegein,Utrecht,41,41,41,41,41,41,41,41,41,41,41,41,40,40,40,39,38,38,38,38,38,37,37,37,37,37,36,35,34,30,30,29,29,29,29,26,25,24,22,21,21,20,17,15
Nieuwkoop,Zuid-Holland,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,6,6,5,5,5,4
Nijkerk,Gelderland,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,20,20,19,18,18,17,18,17,16,14,11,10
Nijmegen,Gelderland,125,124,124,123,123,123,124,124,124,123,123,123,123,119,119,119,118,118,118,118,116,116,115,115,114,114,114,111,111,111,109,109,106,103,100,100,98,94,89,88,87,83,79,72
Nissewaard,Zuid-Holland,53,52,52,52,52,51,48,47,47,47,47,47,45,45,43,42,42,42,39,39,39,39,39,38,38,36,35,35,33,32,32,32,32,31,28,27,25,25,24,23,23,22,20,19
Noardeast-Fryslân,Friesland,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,4,4,4,4,4,4,4,4,4,4
Noord-Beveland,Zeeland,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
Noordenveld,Drenthe,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1
Noordoostpolder,Flevoland,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,13,13,12,11,10,10,10,9,9,9,9,8,8,8,8,8,8,8,8,7,6,6
Noordwijk,Zuid-Holland,17,16,16,16,16,16,17,17,17,16,16,15,15,15,15,15,15,15,15,15,14,14,14,14,14,13,13,13,13,13,13,12,12,12,11,11,11,11,9,9,9,8,8,8
"Nuenen, Gerwen en Nederwetten",Noord-Brabant,17,17,17,17,17,17,17,17,17,17,16,16,16,16,16,16,16,16,16,16,16,15,15,15,15,15,14,14,14,14,13,13,12,12,12,12,12,12,12,12,12,11,9,7
Nunspeet,Gelderland,49,48,47,44,44,44,42,42,42,42,42,42,41,39,38,36,35,35,35,35,34,34,33,33,33,33,32,31,30,29,28,28,28,27,26,24,23,20,20,19,19,19,17,15
Oegstgeest,Zuid-Holland,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,3,3,3
Oirschot,Noord-Brabant,13,13,13,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,10,9,9,9,9,9,9,9,9,9,6,6,6
Oisterwijk,Noord-Brabant,22,21,21,21,21,21,20,18,17,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,14,13,10,10,10,10,10,10,9
Oldambt,Groningen,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,4,4,4,4,4,4,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1
Oldebroek,Gelderland,37,37,37,37,37,36,37,37,37,35,35,34,33,32,32,32,30,30,29,27,27,26,26,25,25,24,24,24,23,23,22,22,19,19,18,17,13,11,10,9,8,8,8,6
Oldenzaal,Overijssel,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,13,13,11,11,11,10,10,10,8,8
Olst-Wijhe,Overijssel,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,10,9,9,9,9,9,9,9,7,6,6,6,6,5,5
Ommen,Overijssel,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,7,7,7,7,7,7,7,7,6,6,6,6,6,4,4
Oost Gelre,Gelderland,16,15,15,15,15,14,14,14,14,13,13,13,11,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,6,5,5,4,4,4,4,4,3,2,2,2,2
Oosterhout,Noord-Brabant,47,47,46,46,46,45,45,45,44,44,44,44,44,44,43,42,42,40,40,40,39,39,39,39,38,35,35,35,34,34,34,34,34,34,29,27,25,25,25,25,25,25,24,23
Ooststellingwerf,Friesland,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Oostzaan,Noord-Holland,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,10,10,10,10,10,8,8,8,8,8,8,8,8,8,7,6,5,5,5,4,4,3,2
Opmeer,Noord-Holland,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Opsterland,Friesland,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4
Oss,Noord-Brabant,164,164,164,164,164,164,165,165,165,165,164,164,164,163,163,163,163,163,160,146,132,120,119,117,117,116,114,112,112,112,112,112,112,113,108,107,104,100,100,96,93,86,78,73
Oude IJsselstreek,Gelderland,18,18,18,17,17,17,17,17,17,17,16,16,15,15,15,15,15,15,15,14,14,14,13,12,12,12,12,11,11,9,8,7,7,7,6,5,5,5,4,4,4,3,2,2
Ouder-Amstel,Noord-Holland,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,3,3
Oudewater,Utrecht,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,24,24,24,24,23,21,21,21,21,20,20,20,20,20,18,16,16,16,15,15
Overbetuwe,Gelderland,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,55,55,55,55,55,54,54,54,53,52,52,51,48,49,47,47,45,43,43,42,39,38,32
Papendrecht,Zuid-Holland,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,4,3,3,3,3,1,1,1,0
